key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg,subset,rank,t_mm
1.00_6.00_4495.0_15_185.40_362.40,1.0,6.0,4495.0,15.0,185.4,362.4,1.9547,70,4079.0,4900.0,472.0,457.0,385.0,6.17992,17002.1,73528.0,107532.2,2099.3,1,,0.3,353.8,1.1763,13.8237,z1>=1.0,1,116.5
1.00_6.00_4494.0_15_180.20_364.40,1.0,6.0,4494.0,15.0,180.2,364.4,2.0222,72,4082.0,4896.0,475.0,459.0,387.0,6.18054,17003.4,73277.1,107284.0,2099.4,1,,0.31,355.8,1.1448,13.8552,z1>=1.0,2,116.0
1.00_5.50_4492.0_20_177.60_376.50,1.0,5.5,4492.0,20.0,177.6,376.5,2.1199,73,4048.0,4925.0,490.0,474.0,400.0,6.11193,19157.5,68462.3,106777.4,2099.8,1,,0.3,367.9,1.4938,18.5062,z1>=1.0,3,118.5
1.00_5.50_4499.0_19_177.80_378.80,1.0,5.5,4499.0,19.0,177.8,378.8,2.1305,73,4058.0,4929.0,493.0,477.0,403.0,6.02598,19158.0,68355.6,106671.6,2099.4,1,,0.31,370.2,1.4211,17.5789,z1>=1.0,4,118.0
1.00_5.50_4500.0_19_177.80_379.20,1.0,5.5,4500.0,19.0,177.8,379.2,2.1327,73,4059.0,4930.0,494.0,478.0,403.0,6.02632,19190.5,68091.8,106472.8,2099.2,1,,0.31,370.6,1.4208,17.5792,z1>=1.0,5,117.5
1.00_5.00_4499.0_27_190.60_380.40,1.0,5.0,4499.0,27.0,190.6,380.4,1.9958,68,4007.0,4981.0,495.0,479.0,404.0,6.27084,21510.4,63371.7,106392.5,2099.2,1,,0.3,371.8,2.1232,24.8768,z1>=1.0,6,121.0
1.00_5.00_4499.0_27_166.30_387.40,1.0,5.0,4499.0,27.0,166.3,387.4,2.3295,78,4022.0,4965.0,504.0,488.0,412.0,6.2699,21593.4,63106.7,106293.5,2099.6,1,,0.33,378.8,1.8613,25.1387,z1>=1.0,7,120.0
1.00_4.50_4499.0_28_180.20_404.00,1.0,4.5,4499.0,28.0,180.2,404.0,2.242,72,3991.0,4995.0,526.0,509.0,429.0,5.87138,23886.7,58062.2,105835.6,2098.9,1,,0.33,395.4,2.0806,25.9194,z1>=1.0,8,122.5
1.50_6.00_4499.0_20_197.00_377.60,1.5,6.0,4499.0,20.0,197.0,377.6,1.9168,66,4036.0,4951.0,492.0,476.0,401.0,6.11503,19880.8,74545.9,114307.6,2096.9,1,,0.29,369.0,1.648,18.352,z1>=1.5,1,119.5
1.50_6.00_4497.0_18_196.10_385.20,1.5,6.0,4497.0,18.0,196.1,385.2,1.9643,66,4040.0,4943.0,502.0,485.0,409.0,5.93935,19974.0,74319.3,114267.4,2098.8,1,,0.3,376.6,1.4825,16.5175,z1>=1.5,2,119.0
1.50_6.00_4495.0_18_196.80_384.80,1.5,6.0,4495.0,18.0,196.8,384.8,1.9553,66,4037.0,4942.0,501.0,485.0,409.0,5.93772,20001.5,74262.4,114265.4,2096.7,1,,0.28,376.2,1.4882,16.5118,z1>=1.5,3,119.0
1.50_6.00_4495.0_19_166.30_393.10,1.5,6.0,4495.0,19.0,166.3,393.1,2.3638,78,4055.0,4924.0,512.0,495.0,418.0,6.02532,20027.3,73995.5,114050.1,2097.9,1,,0.31,384.5,1.3334,17.6666,z1>=1.5,4,118.0
1.50_5.50_4499.0_26_177.80_392.20,1.5,5.5,4499.0,26.0,177.8,392.2,2.2058,73,4013.0,4974.0,511.0,494.0,417.0,6.17313,22144.7,69239.5,113528.9,2099.0,1,,0.3,383.6,1.9167,24.0833,z1>=1.5,5,121.0
1.50_5.50_4496.0_28_173.20_389.50,1.5,5.5,4496.0,28.0,173.2,389.5,2.2488,75,4007.0,4974.0,507.0,491.0,414.0,6.36851,22187.2,69132.8,113507.2,2099.3,1,,0.35,380.9,2.0038,25.9962,z1>=1.5,6,121.0
